End Year,Snowfall (in.)
1977,28.0
1978,58.0
1979,38.8
1980,22.5
1981,22.5
1982,29.7
1983,36.4
1984,30.3
1985,24.1
1986,20.9
1987,45.4
1988,21.0
1989,11.9
1990,17.8
1991,17.0
1992,10.3
1993,30.2
1994,43.0
1995,15.4
1996,84.4
1997,25.0
1998,4.0
1999,13.5
2000,23.4
2001,44.3
2002,6.9
2003,54.1
2004,37.6
2005,40.7
2006,30.9
2007,11.6
2008,9.6
2009,22.0
2010,54.2
2011,49.3
2012,8.5
2013,22.6
2014,57.6
2015,43.9
2016,31.4
2017,24.1
2018,46.6
2019,15.0
2020,3.9
2021,37.5
2022,17.2
2023,1.6
